singlish,english
Why your locker so messy one?,Why is your locker so messy?
"You all go ahead first lah, I catch up later.",You all go ahead first — I'll catch up later.
I see liao also headache.,Just looking at it already gives me a headache.
"This problem very chim, I don't understand.",This problem is really complicated — I don't understand.
She always give excuse one.,She always gives excuses.
Don't forget to bring your notes ah.,Don't forget to bring your notes.
Later don't say I never remind you.,Later don't say I didn't remind you.
"You ask him also no use, he blur blur.",No point asking him — he's always clueless.
She act like she boss like that.,She acts like she's the boss.
"Go home faster lah, outside raining liao.",Go home quickly — it's already raining.
This one not my fault leh.,This isn't my fault.
"His joke not funny leh, still laugh.","His joke wasn't funny, but he still laughed."
Why you so calculative one?,Why are you so petty?
Don't take people things without asking.,Don't take other people's stuff without asking.
"I wake up late today, almost miss bus.",I woke up late today — almost missed the bus.
You want spicy or not spicy?,Do you want it spicy or not?
My back pain from carrying all this.,My back hurts from carrying all this.
"I say one time only, better remember.",I'll say it only once — you better remember.
His idea not bad leh.,His idea isn't bad.
"Just now got lightning, very loud sia.",There was lightning just now — super loud.
I wear slippers can anot? Don't want wear shoes.,Can I wear slippers? I don't want to wear shoes.
"Go buy tissue lah, don't keep sniffing.",Go buy tissue — stop sniffing.
You want to eat here or take away?,Do you want to eat here or do takeaway?
I hear until I want to sleep already.,I've heard it so much I feel like sleeping.
She laugh until stomach pain.,She laughed so much her stomach hurt.
"This one last piece already, you want?",This is the last piece — do you want it?
"Don't rush lah, we got time.",Don't rush — we have time.
"You never say properly, that's why confused.",You didn't explain clearly — that's why it's confusing.
Later go downstairs lim kopi.,Let's go downstairs for a coffee later.
"He talk so fast, cannot catch what he say.",He talks so fast I can't catch what he's saying.
Better be safe than sorry lah.,It's better to be safe than sorry.
I kena splashed by bus just now.,I got splashed by a bus just now.
She eat until all over the place.,She eats messily — food everywhere.
You all think I free ah?,You all think I've got nothing to do?
I bring umbrella just in case.,I brought an umbrella just in case.
"He say one thing, do another thing.",He says one thing but does something else.
"You see properly lah, not same size.",Look properly — they're not the same size.
Later sure got traffic jam one.,There will definitely be a traffic jam later.
You don't understand meh? I say so clear.,You don't understand? I said it so clearly.
"Every time ask him help, always got excuse.","Every time I ask him for help, he has excuses."
You better don't go too far.,You better not go too far.
Why you don't want eat?,Why don't you want to eat?
I tapao for you already.,I've packed takeaway for you already.
"This queue never move one, waste time.",This queue isn't moving — such a waste of time.
"You all so noisy, teacher can hear from outside.",You're all so noisy — the teacher can hear from outside.
"She say want diet, then order extra rice.","She says she's dieting, then orders extra rice."
Can help me print this anot?,Can you help me print this?
You want to share taxi or not?,Do you want to share a taxi?
"Don't leave bag there, later lost then how?",Don't leave your bag there — what if it gets lost?
I got nothing to say liao.,I've got nothing more to say.
You better don't make her angry.,You better not make her angry.
He buy that one just to show off.,He bought that just to show off.
You think I so free meh?,Do you think I'm that free?
"This table shaky, don't lean.",This table is wobbly — don't lean on it.
"You say properly lah, I don't understand.",Say it properly — I don't understand.
He smile like very fake leh.,His smile looks so fake.
Don't put so much sauce lah.,Don't put so much sauce.
"I scare later no grab, so I book first.","I was afraid there'd be no Grab, so I booked early."
"Don't be so picky lah, just eat.",Don't be so picky — just eat it.
I kena bitten by mosquito everywhere.,I got bitten by mosquitoes all over.
You can wait anot? I almost done.,Can you wait? I'm almost done.
"She talk behind people back, not good.",She talks behind people's backs — that's not right.
"Go sleep lah, tomorrow still got school.",Go sleep — there's school tomorrow.
She never bring her notes again leh.,She forgot to bring her notes again.
"Don't make that face lah, not nice.",Don't make that face — it's not nice.
You so fierce for what?,Why are you so fierce?
This one really cannot tahan.,This one is really unbearable.
I thought you say you coming?,I thought you said you were coming?
"He act busy only, actually never do anything.",He just pretends to be busy — actually does nothing.
You better backup your files lah.,You better back up your files.
Later he confirm complain one.,He'll definitely complain later.
"She wear like that, later cold how?",She's dressed like that — what if it gets cold?
"Today boss mood okay, can ask for leave.",The boss is in a good mood today — you can ask for leave.
"I go buy coffee first, you want?",I'm going to get coffee — do you want some?
This pen write until very smooth.,This pen writes really smoothly.
You really never change one.,You really never change.
"Don't stare at people lah, rude sia.",Don't stare at people — it's rude.
"He say don't want go, then suddenly appear.","He said he didn't want to go, then suddenly showed up."
This kind of weather confirm rain one.,"With this weather, it's definitely going to rain."
"You do slowly lah, no rush.",Take your time — no need to rush.
She always last minute then panic.,She always panics at the last minute.
"I kena stuck at work, that's why late.",I was stuck at work — that's why I'm late.
Better don't use that tone with me.,You better not use that tone with me.
This one not my job leh.,This isn't my responsibility.
"You so extra today, what happen?",You're being really extra today — what happened?
She every time like that one lah.,She's always like that.
Your voice very loud leh.,Your voice is very loud.
Why you never eat lunch?,Why didn't you eat lunch?
He talk very sarcastic sia.,He speaks very sarcastically.
"Later go run some errands, want follow?",I'm going to run some errands later — want to come?
You never reply my message leh.,You didn't reply to my message.
I no appetite today.,I have no appetite today.
"You think too much lah, just go.",You're overthinking — just go.
Your handwriting today very neat leh.,Your handwriting is very neat today.
You all never listen during meeting ah?,Didn't any of you listen during the meeting?
This kind of attitude how to work?,How can you work with this kind of attitude?
You again forget to submit the form.,You forgot to submit the form again.
"She not bad what, give her chance lah.",She's not bad — give her a chance.
"I really tired already, don't disturb.",I'm really tired — don't disturb me.
He still owe me money you know.,"He still owes me money, you know?"
This food spicy until I sweat.,This food is so spicy it's making me sweat.
You never see the notice board meh?,Didn't you see the notice board?
He always take shortcut one.,He always takes shortcuts.
Later we go walk walk abit lah.,Let's go for a walk later.
"This one very cheap, must buy.",This is really cheap — must buy it.
"You ah, so talkative one.",You're so talkative.
"You better wear shoes, later rain.",You better wear shoes in case it rains.
This place very noisy leh.,This place is really noisy.
"He very helpful leh, not bad.",He's very helpful — not bad.
You still angry ah? Let it go lah.,Are you still angry? Just let it go.
Later I help you carry lah.,I'll help you carry it later.
Don't always play phone lah.,Don't always be on your phone.
"Every time see you, you eating.","Every time I see you, you're eating."
You confirm forget again one lah.,You'll definitely forget again.
I need to go bank settle some stuff.,I need to go to the bank to handle some things.
She cry over small thing again.,She's crying over something small again.
Later meet at MRT station lah.,Let's meet at the MRT station later.
"You all eat so fast, I still halfway.",You all finished eating so fast — I'm still halfway.
Why your desk so messy one?,Why is your desk so messy?
"Just agree lah, don't be so difficult.",Just agree — don't be so difficult.
He act like know everything.,He acts like he knows everything.
You want bubble tea anot?,Do you want bubble tea?
"Don't go out now lah, very hot.",Don't go out now — it's very hot.
She sing until very nice leh.,She sings very well.
Your handwriting look like doctor.,Your handwriting looks like a doctor's.
"Don't so stress lah, take it easy.",Don't be so stressed — take it easy.
Just now that guy very rude leh.,That guy was really rude just now.
"I do already, now your turn.",I've done it — now it's your turn.
Every time talk about same thing one.,You're always talking about the same thing.
You no need help meh?,Don't you need help?
"She no reaction, like stone like that.",She had no reaction — like a statue.
"This one don't touch lah, fragile.",Don't touch this — it's fragile.
He lucky this time only.,He's just lucky this time.
Why so fast finish your food?,Why did you finish your food so fast?
"You wait here lah, I go buy ticket.",Wait here — I'll go get the tickets.
He always give lame excuse.,He always gives lame excuses.
That aunty very fierce one.,That lady is really fierce.
"You say earlier lah, now too late.",You should've said earlier — now it's too late.
Later I help you do lah.,I'll help you do it later.
This project quite hard leh.,This project is quite difficult.
She bossy until cannot tahan.,She's so bossy I can't stand it.
"You all keep quiet lah, teacher coming.",Be quiet — the teacher's coming.
"He so tall now, last time small boy only.",He's so tall now — used to be just a little boy.
You eat this one before anot?,Have you eaten this before?
"Every time I do wrong, kena scold.","Every time I mess up, I get scolded."
I thought today holiday?,I thought today was a holiday?
Don't keep repeat the same thing lah.,Stop repeating the same thing.
"This ice cream very nice, you try.",This ice cream is really good — try it.
You help me see got mistake anot?,Can you check if there's any mistake?
She wear until very formal today.,She's dressed very formally today.
I borrow your charger can?,Can I borrow your charger?
"You all ah, always play around only.",You all always fool around.
Don't leave your stuff everywhere lah.,Don't leave your things all over the place.
This kind of thing no need say one.,This kind of thing goes without saying.
Better faster settle this.,Better get this settled quickly.
That guy always think he right.,That guy always thinks he's right.
I don't want go if he also going.,I don't want to go if he's going too.
Later rain then how? Got plan B anot?,What if it rains later? Do we have a backup plan?
"She say she coming, then never show up.",She said she was coming but didn't show up.
Don't be late again hor.,"Don't be late again, okay?"
"Eh, don't talk cock can? We here to do serious work leh.","Hey, stop talking nonsense — we're here to get serious work done."
"Wah lao, kena arrow again to do OT. Jialat sia.","Oh man, got forced to do overtime again. This is bad."
"You blur like sotong, I explain three times already leh.",You're totally clueless — I've already explained it three times.
"That fellow always act blur one, actually everything he know lah.","That guy always pretends to be clueless, but actually he knows everything."
You bo jio again ah? Go makan never even say.,You didn't invite me again? Went to eat without saying anything.
"Don't sabo me lah, I never even involved one.",Don't get me in trouble — I wasn't even involved.
"He heng ah, last minute submit still can pass.",He's lucky — submitted at the last minute and still passed.
"She steady bom pi pi sia, handle the whole event like nothing.",She's super steady — managed the whole event like it was nothing.
You catch no ball is it? So obvious already.,"You don't get it, is it? It's already so obvious."
"That kind of service, really can throw table liao.","That kind of service is so bad, I could flip a table."
"Aiyo, today kena sai liao. Boss mood like volcano.","Oh no, we're screwed today — the boss is in a terrible mood."
Whole thing mess up because he go and act smart.,Everything got messed up because he tried to act smart.
You think I free one ah? Got own things to do also leh.,You think I've got nothing to do? I have my own stuff too.
"Every time late, then still can come talk big. Buay tahan.",Always late but still acts cocky. I really cannot stand it.
"He talk until very shiok, but never do anything.","He talks like he's great, but never actually does anything."
"You go holiday never even say, wah you really bo jio max.",You went on holiday without telling anyone — totally didn't invite me.
She kao bei kao bu the whole day just because lose game.,She complained non-stop the whole day just because she lost a game.
"This one confirm will kena one, don't say I never warn.",You'll definitely get in trouble — don't say I didn't warn you.
"He no give face sia, scold people in front of everyone.",He really didn't hold back — scolded someone in front of everyone.
"Last night kena food poisoning, stomach lau sai whole night.",Last night got food poisoning — had diarrhoea the whole night.
"Don't just sit there diam diam, say something lah.",Don't just sit there silently — say something.
"That one act high class only, actually don't know anything.",That one just pretends to be classy — actually clueless.
"You really one kind leh, everything also can mess up.",You're really something — can mess up anything.
"He confirm got wayang one, in front of boss suddenly so hardworking.",He's totally putting on a show — suddenly hardworking when boss is around.
"I ask you help a bit only, also want to complain.","I just asked for a bit of help, and you're already complaining."
That shop sell branded stuff but behind all parallel import one.,That shop sells branded goods but they're all parallel imports.
"She always act atas, say hawker food not clean.",She always acts snobbish — says hawker food is not clean.
"Don't act gong lah, everyone know you the one who do.",Don't pretend to be clueless — everyone knows you did it.
"Go MRT also must squeeze like sardine, morning rush jialat one.",Even taking the MRT is terrible — packed like sardines during morning rush.
"Every time play mahjong sure win one, he got huat aura.","Every time he plays mahjong, he wins — must have lucky vibes."
"I kena sai already, forgot to do my part for the group.",I'm in trouble — forgot to finish my group work.
"Later that one sure complain to HR one, pattern same every time.",That one will definitely complain to HR — always the same story.
"Today weather sibeh hot, sit under fan also sweat like pig.",The weather today is super hot — even under the fan I'm sweating.
"You still can act like nothing happen, wah you solid.",You can still pretend nothing happened — you're really something.
"Don't be so kay kiang lah, you try then you know.",Don't act smart — try it and you'll see.
"She go there act chio only, not even help out.",She only went there to show off — didn't even help.
You slack the whole day then expect miracle meh?,You slack all day and expect miracles?
He kena ownself backfire — go gossip then get caught.,He got into trouble himself — tried to gossip and got caught.
"Boss give green light liao, now can chiong.",Boss already approved — now we can go all out.
"Don't act hero lah, just follow instructions can already.",Don't try to be a hero — just follow instructions.
"I tahan until cannot already, need to rant.",I've held it in too long — I need to rant now.
"She bluff you lah, that story confirm got hole one.",She lied to you — there are holes in her story.
"Your idea sound power, but execution jialat.","Your idea sounds great, but the execution is poor."
"He forever like that one, talk loud loud but no action.",He's always like that — talks loudly but never takes action.
That joker go and tikam tikam then kena jackpot.,That guy randomly guessed and actually hit the jackpot.
You want chiong project last minute again ah?,You want to rush the project at the last minute again?
"He walk like got wind, think he model meh?",He walks like he's in a fashion show — thinks he's a model?
"She super drama one, small thing also cry.",She's super dramatic — cries over small things.
Just now I kena tekan by boss until want cry.,Just now I got scolded by the boss until I almost cried.
This kind of pattern I see until sian already.,I've seen this kind of behaviour so many times — I'm tired of it.
"His English really powderful, don't know say what.",His English is so 'good' I don't even know what he's saying.
"Later don't kena caught hor, I don't want to be involved.",Don't get caught later — I don't want to be dragged into it.
You think I born yesterday ah? Don't bluff lah.,You think I'm that gullible? Don't lie to me.
Don't bring your kampung mindset here can.,"Don't bring your backward thinking here, please."
"He kena mark liao, whatever he do also kena fault.",He's been marked already — whatever he does is wrong.
"She go complain say office fengshui no good, siao one.",She went to complain that the office feng shui is bad — totally nuts.
"You say you confirm come, end up pangseh me.",You said you'd definitely come but ended up ditching me.
"I see her also sian, always bring bad vibes.",Just seeing her makes me tired — always brings bad vibes.
That one is classic kiasi behaviour.,That's classic scared-of-everything behaviour.
"Don't always be so kiasu lah, got enough to go around.",Don't always be so afraid of losing out — there's enough for everyone.
"You one leg in one leg out, how to trust you?",You're so half-hearted — how can anyone trust you?
"Them two always buddy buddy one, go toilet also together.",Those two are always together — even go to the toilet together.
Don't go and kaypoh their business lah.,Stop being nosy about their affairs.
Everything also must wait for you meh?,Must we wait for you for everything?
"Don't be so action lah, we all same level.",Don't act so arrogant — we're all on the same level.
He go jalan jalan during meeting time somemore.,He went out for fun even during a meeting.
"You every week MC, HR also shake head liao.",You take medical leave every week — even HR is tired of it.
"She just now show pattern again, really drama queen.",She was acting up again just now — total drama queen.
He kancheong until press wrong button.,He panicked and pressed the wrong button.
"You ownself never do, still can push blame.",You didn't do your part and still tried to shift the blame.
I hear what she say I want to flip table sia.,What she said made me so angry I could flip a table.
That one really buay pai seh — ask for help then disappear.,That one's really shameless — asks for help and then disappears.
"You never bring tissue ah? Aiyo, how to eat chili crab like that?",You didn't bring tissue? Oh no — how can we eat chili crab like this?
"Later go kopitiam lim kopi, I jio you.",Let's go to the coffee shop for coffee later — I'll treat you.
You think you superstar meh? Come late still got face to smile.,You think you're a superstar? Came late and still smiling.
"That guy lagi worse, say want help then ghost.",That guy's even worse — said he'd help then ghosted us.
You call that clean ah? Got standard or not?,You call that clean? Do you even have standards?
"I open mouth say only, whole room go silent.",I just opened my mouth and the whole room went silent.
"She like to throw shade one, always indirectly shoot people.",She always throws shade — always indirectly insulting people.
"Bro, next round karaoke jio me hor, don't bo jio again.","Bro, invite me to the next karaoke round — don't leave me out again."
"He ownself sabo ownself, now kena double work.","He messed things up himself, now he has twice the workload."
"You go lim kopi with them also never call me, sibeh bo jio.",You went for coffee with them and didn't call me — seriously didn't invite me.
"She pattern more than badminton sia, everyday got drama.",She's so full of drama — every day there's something new.
Just tikam tikam submit then hope can pass lor.,Just randomly submit and hope it passes.
"That guy talk big only, do work like snail.","That guy only brags — when working, he's super slow."
Don't wait until last minute then kancheong spider.,Don't wait until the last minute and then panic like mad.
"She always shoot people backside one, toxic sia.",She always talks behind people's backs — super toxic.
Later you kena from boss then don't cry hor.,"When you get scolded by the boss later, don't come crying."
He always suka suka disappear halfway.,He always disappears whenever he feels like it.
"You walk so slow, like got all the time in the world.","You walk so slowly, like there's no rush at all."
"Wah his confidence power sia, even when wrong also act sure.","His confidence is amazing — even when he's wrong, he acts so sure."
You like that confirm kena tekan lah.,"If you behave like that, you'll definitely get punished."
"She go take MC again, confirm fake one.",She took sick leave again — definitely faking it.
"Every time I cover for you, later boss think I nothing to do one meh?",I always cover for you — does the boss think I have nothing to do?
"That one talk until like he some expert, end up bluff one.","That guy talks like an expert, but he's bluffing."
"You blur blur then press the wrong button, now whole thing crash.",You were clueless and pressed the wrong button — now the whole system crashed.
Later boss ask then how? Don't say I never warn.,"If the boss asks later, don't say I didn't warn you."
You everyday eat maggi how can tahan?,How can you survive eating instant noodles every day?
"Her face that kind already, confirm not happy one.","With that expression, she's definitely not happy."
"Don't go and step on people's tail lah, later got drama.",Don't go offend others — you'll cause drama.
"Don't know then ask lah, don't act like know everything.","If you don't know, just ask — don't pretend you know."
You talk so much cock until I headache already.,You're talking so much nonsense I'm getting a headache.
"He go jalan jalan then say he working OT, wah solid.",He went out for fun and claimed it was overtime — amazing.
"She send me voice note six minutes long, got time to listen meh?",She sent me a six-minute voice message — who has time to listen?
"Boss breathing down my neck liao, I die die must finish today.",The boss is pressuring me — I absolutely must finish it today.
You call this report? Primary school standard also better lah.,You call this a report? Even a primary school kid can do better.
"Every time open mouth only complain, action zero.",Always complains but never takes action.
"He every day change story one, cannot trust lah.",He changes his story daily — can't be trusted.
You go one round then come back still blur like sotong.,You went one round and still don't get it — completely lost.
"She dress until so chio today, must be got something.",She dressed up so nicely today — must be up to something.
"Later MRT sure sardine again, sian half.",Later the MRT will be packed again — so sick of it.
"He kena arrow to present, now sweating like mad.",He got assigned to present and now he's super nervous.
"You promise already then pangseh, not steady leh.",You promised and then ditched — not reliable at all.
"That team do things anyhow one, every time got problem.",That team does everything carelessly — always got issues.
She use filter until cannot recognise.,"She used so many filters, you can't even recognise her."
"Boss just now come shoot me for nothing, I innocent sia.",Boss scolded me just now for no reason — I'm innocent!
"He always like to act one, in front of management then suddenly busy.",He always pretends — only acts busy when management is around.
"You see him smile like that, confirm up to something.","If he's smiling like that, he's definitely planning something."
Project not even halfway he already mia liao.,Project's not even halfway and he already went missing.
You got backup anot? Later kena crash then GG.,"Do you have a backup? If it crashes later, we're done for."
Why she so lansi today? Give one word reply only.,Why is she acting so stuck-up today? Only giving one-word replies.
You think I stupid is it? This kind of excuse I hear before liao.,You think I'm stupid? I've heard this kind of excuse before.
"She really one kind, kena caught still can smile.",She's really something — got caught and still smiling.
"Now he act like angel, last week still troublemaker.","Now he acts innocent, but last week he was causing trouble."
You better siam now before the boss come.,You better get out before the boss comes.
"Your idea quite solid, execution must jaga only.",Your idea is solid — just make sure you handle the execution carefully.
"Don't be so zhun lah, I was just kidding.",Don't be so serious — I was just joking.
You kena pang gang is it? How come suddenly disappear?,Did you get retrenched? How come you suddenly disappeared?
"Whole day sit there shake leg, end up last minute chiong.","Sat there doing nothing the whole day, then rushed last minute."
"I ask you five times already, you still act blur.",I've asked you five times and you're still pretending not to know.
"You jio I also cannot go, got family dinner lah.","Even if you invite me, I can't go — got family dinner."
"Later got long queue one, better go early.",There'll be a long queue later — better go early.
"Don't suka suka open email blast, later kena.",Don't randomly send mass emails — you'll get into trouble.
He kan cheong until spill coffee everywhere.,He panicked and spilled coffee all over.
"You better go chop seat first, if not stand eat.",You better reserve a seat first or you'll end up eating standing.
"He everything also want to be hero, end up ownself die.",He always wants to be the hero and ends up suffering for it.
"She play victim again lah, always same pattern.",She's acting like a victim again — same old routine.
"I kena stuck at Causeway for 3 hours, jialat.",I got stuck at the Causeway for 3 hours — it was terrible.
"Don't always compare lah, everyone got own pace.",Don't keep comparing — everyone has their own pace.
You want kopi kosong or kopi gao?,Do you want black coffee or strong coffee?
"She everyday post quote like influencer, but life mess.","She posts quotes like an influencer, but her life is a mess."
"You go disturb her some more lah, later she explode.",Keep annoying her — she'll explode soon.
"That food stall sibeh famous, queue until round the corner.",That food stall is super famous — the queue goes around the corner.
You think this TikTok video can help your grade meh?,You think this TikTok video will help your grade?
"Later I kena from mum again, you better don't tell.",I'll get scolded by my mum again — don't tell her.
Your face look like you never sleep ten years.,You look like you haven't slept in ten years.
Better siam the topic before she bring it up.,Better avoid the topic before she brings it up.
"She confirm got hidden agenda, so fake lah.",She definitely has a hidden agenda — so fake.
I tell you this one last time liao hor.,"I'm telling you this for the last time, okay?"
"Go make noise again lah, later kena chase out.",Keep making noise and we'll get kicked out.
You play until what time last night? Now like zombie.,How late did you play last night? You look like a zombie now.
"My ah ma last time use charcoal stove one, you know anot?","My grandmother used to cook with a charcoal stove, you know?"
"That one kena summon at double yellow line, padan muka lah.",He got a fine for parking at the double yellow line — serves him right.
"Go wet market early lah, later aunties whack all the good veg already.","Go to the wet market early, or all the good vegetables will be snatched by the aunties."
"You try open durian at void deck, confirm kena complain one.","If you try opening a durian at the void deck, someone will definitely complain."
"Uncle just now play chess until shout at the other uncle, sibeh drama.",Uncle was playing chess just now and ended up shouting at another uncle — super dramatic.
"This kind of funeral music blast until HDB shake, old school sia.",The funeral music is so loud it's shaking the whole HDB — really old school.
"Don't wear your shoes inside the house lah, later kena nag by ah ma.",Don't wear shoes in the house — grandma will nag at you.
"I tell you, kampung last time got no aircon, sleep with mosquito coil only.","I'm telling you, in the old kampung days we had no aircon — just used mosquito coils to sleep."
You think NS easy ah? Last time kena field camp rain whole night still must dig trench.,You think National Service is easy? I had to dig trenches all night in the rain during field camp.
"That aunty queue at Sheng Siong just to chao gan other queue, I buay tahan.",That aunty queued just to cut into another queue at Sheng Siong — I really cannot take it.
"I see liao also paiseh for her, scold own daughter at kopitiam.",I felt embarrassed for her — she scolded her daughter loudly at the coffee shop.
"Don't anyhow play mahjong with those uncles, they play until fire come out one.",Don't casually play mahjong with those uncles — they play very fiercely.
"Back alley that kway chap stall open midnight one, solid old-school vibes.",That kway chap stall in the back alley opens at midnight — really nostalgic.
"Last time we go East Coast BBQ, must book pit six months early leh.",We used to book East Coast BBQ pits six months in advance.
"That taxi uncle anyhow scold GRAB driver say steal business, really lah.","The taxi uncle randomly scolded a GRAB driver, saying he's stealing business."
You wear black to wedding? Wah your mother sure say you no manners.,You wore black to a wedding? Your mum will definitely say it's rude.
"Every Chinese New Year must clean house until sparkling, else kena suay the whole year.","Every Chinese New Year we must clean the house properly, or we'll have bad luck."
"My fishball fly out of my bowl at hawker centre, whole table laugh until cry.",My fishball flew out of my bowl at the hawker centre — the whole table was laughing like mad.
"Pasar malam last time got one uncle sell Ramly burger, best sia.",There used to be an uncle at the night market who sold the best Ramly burgers.
"You go Punggol that time still got pigs one lor, not like now condo everywhere.","Back when you went to Punggol, there were still pigs — not like now, all condos."
"That kopitiam stall owner every time give me extra taugeh, say I remind him of his daughter.",That coffee shop owner always gives me extra bean sprouts — says I remind him of his daughter.
"Last time I kena rotan until backside got stripe, now kids complain for nothing.","Back then I got caned until I had marks, but kids today complain over nothing."
"You tell the hawker no chilli, he still whack the sambal like it's free.",You told the hawker no chilli and he still dumped sambal all over like it's free.
"I got kena ngiao aunty in condo AGM, ask question like she lawyer liddat.",I encountered a fussy aunty at the condo AGM — asked questions like a lawyer.
"Void deck wedding last weekend play techno until midnight, I cannot tahan.",The wedding at the void deck last weekend blasted techno till midnight — I couldn't take it.
"Everytime go wedding dinner must wait 1 hour for first dish, why like that one?",Why is it that at every wedding dinner we always wait an hour for the first dish?
"Uncle go bird shop buy bird whistle, then whole block got echo sia.",Uncle bought a bird whistle and now the whole block echoes with it.
"Neighbour upstairs got those sliding chairs, every night sound like thunder.",The upstairs neighbour has those sliding chairs — sounds like thunder every night.
"Go Toast Box pay premium for kaya toast, my ah gong sure laugh.",Paying premium prices at Toast Box for kaya toast — my grandpa would laugh at that.
That one wear Adidas shirt but inside got pasar malam vibe.,He's wearing an Adidas shirt but still gives off night market vibes.
I queue two hour for Hokkien mee and aunty say sold out when reach me.,I queued two hours for Hokkien mee and the aunty said it was sold out when it got to me.
"She complain her house fengshui bad, ask bomoh come see somemore.",She complained about her house's feng shui and even got a shaman to check it.
"Ah gong used to tell us ghost story during blackout, now kids scared of dark still got iPad.",Grandpa used to tell us ghost stories during blackouts — now kids are scared of the dark even with iPads.
"Don't wear slipper go temple lah, later they say disrespectful.",Don't wear slippers to the temple — it's considered disrespectful.
"You don't drink liang teh, later sore throat blame me ah.","If you don't drink cooling tea, don't blame me later when you get a sore throat."
"She say want to pray 4D, buy wrong number then blame the deity.","She prayed for lottery numbers, bought the wrong one, then blamed the god."
"Go climb Bukit Timah Hill halfway already complain tired, aiyoh.",She was already complaining halfway while climbing Bukit Timah Hill — come on lah.
"Eh you don't anyhow point at the moon, later your ear kena cut.","Don't randomly point at the moon — it's bad luck, your ear might get ‘cut'."
"Today go pray grandparents, burn joss paper until whole place smoky.",Went to pray to grandparents today — burned so much joss paper the whole place got smoky.
Neighbour cat come my house every day like own territory liddat.,The neighbour's cat comes into my house every day like it owns the place.
I eat chendol too fast until brain freeze sia.,I ate chendol so fast I got a brain freeze.
"Got one uncle play erhu at MRT, I stand there listen until miss train.",An uncle was playing the erhu at the MRT — I listened so long I missed my train.
"She bring own tupperware go buffet, I malu until want hide.",She brought her own tupperware to the buffet — I was so embarrassed I wanted to hide.
Why you shout across the kopitiam like pasar liddat?,Why are you shouting across the coffee shop like it's a wet market?
During Hungry Ghost month don't anyhow step on joss sticks ah.,Don't step on joss sticks during Hungry Ghost month.
"Eh don't point leg at altar leh, later kena scold.",Don't point your leg at the altar — you'll get scolded.
He go buy bak kwa queue like it's iPhone launch.,He queued for bak kwa like it was an iPhone launch.
"I kena kena from mum for using too much garlic, say cannot eat heaty.",Mum scolded me for using too much garlic — says it's too heaty.
That aunty at pasar malam always try to haggle until very sian.,That aunty at the night market always tries to haggle — so annoying.
"Last time we use abacus in school, now all use calculator liao.",We used to use abacuses in school — now everyone uses calculators.
"Last time teacher throw chalk one, now just send email warning.","Back then, teachers would throw chalk — now they just send warning emails."
"Go dentist also must queue like clinic, sibeh sian.","Even at the dentist, you have to queue like in a clinic — super frustrating."
That minibus school bus uncle always honk at 6am sharp.,That minibus driver always honks at 6am on the dot.
You wear school PE shirt to tuition again ah? Aiyo.,You're wearing your school PE shirt to tuition again? Oh dear.
"I go temple help my ah ma bai bai, kena mosquito buffet.",I helped my grandma pray at the temple and got bitten like crazy by mosquitoes.
"You play soccer at void deck, later town council fine you then you know.",You're playing soccer at the void deck — wait till the town council fines you.
"She tapao economic rice, then argue over 20 cents extra veg.",She bought mixed rice and argued over 20 cents for extra vegetables.
Uncle go hawker centre shout 'self-service' like army cookhouse liddat.,Uncle yelled 'self-service' at the hawker like he's in the army cookhouse.
"Last time I kena guard duty during CNY, no steamboat for me leh.",I had guard duty during Chinese New Year — no steamboat for me.
Tuition centre aunty give worksheet until hand cramp.,The tuition teacher gave so many worksheets my hand cramped.
"You don't use the bamboo pole anyhow poke ah, later fall on people downstairs.",Don't carelessly poke the bamboo pole — it might fall on someone downstairs.
Neighbour burn incense until whole corridor smell like kampung.,The neighbour's incense makes the whole corridor smell like the old kampung.
"She organise baby full month party, but food all cold one leh.","She organised a baby's full-month party, but all the food was cold."
"Ah pek sit void deck whole day, just feed birds and talk story.",The old uncle sits at the void deck all day feeding birds and telling stories.
"Secondary school boys now no need carry OHP around, so lucky.",Secondary school kids these days don't even need to carry overhead projectors — so lucky.
"Ah ma use that red-white plastic bag for everything — grocery, wedding, funeral all same.","Grandma uses that red-white plastic bag for everything — groceries, weddings, even funerals."
"Last time go CDAC get free maths tuition, now all private school kids only.",We used to go to CDAC for free maths tuition — now it's all private tuition kids.
"She say she vegetarian, but makan laksa halfway then remember.","She said she's vegetarian, but only realised halfway through eating laksa."
Don't anyhow use tissue paper chope table at wedding dinner lah.,Don't try to reserve a table at a wedding dinner with tissue paper — not the same!
During BMT kena tekan so bad until got blister on blister.,During basic military training I got punished so much I had blisters on top of blisters.
"You go up escalator never keep left, later kena stare from behind.",You didn't keep left on the escalator — now people behind are glaring at you.
"He say housewarming, end up no food, just biscuit and ribena.",He invited us for a housewarming but only served biscuits and Ribena.
"Don't try funny funny during prayers, later kena bad luck.",Don't mess around during prayers — you might get bad luck.
Neighbour upstairs every day drag chair like moving furniture competition.,Every day the upstairs neighbour drags chairs like they're having a moving contest.
Why your curry no potato? Like something missing leh.,Why is there no potato in your curry? Feels like something's missing.
Go pasar malam eat takoyaki until sauce all over shirt.,Went to the night market and got takoyaki sauce all over my shirt.
"She ask for belacan, end up whole office smell like kampung kitchen.",She asked for shrimp paste and now the whole office smells like a village kitchen.
My dad still use coin phone outside NTUC to call home.,My dad still uses the coin-operated phone outside NTUC to make calls.
